City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Tubuala,PA,9.52,-79.03,86.0,74,40,6.93,scattered clouds
1,Hukuntsi,BW,-24.0,21.75,61.68,26,7,10.45,clear sky
2,Tuatapere,NZ,-46.13,167.68,55.0,64,100,8.01,light rain
3,Virginia Beach,US,36.85,-75.98,70.0,52,0,1.99,clear sky
4,Avarua,CK,-21.21,-159.78,75.2,83,100,10.29,overcast clouds
5,Altay,CN,47.87,88.12,35.35,76,0,1.48,clear sky
6,Mar Del Plata,AR,-38.0,-57.56,50.0,59,40,17.22,scattered clouds
7,Mataura,NZ,-46.19,168.86,55.0,64,100,8.01,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,39.2,51,75,3.8,broken clouds
9,Carahue,CL,-38.7,-73.17,55.4,66,40,8.05,scattered clouds
10,Saint George,US,37.1,-113.58,81.0,9,1,1.25,clear sky
11,Yellowknife,CA,62.46,-114.35,43.0,86,75,5.82,broken clouds
12,Puerto Ayora,EC,-0.74,-90.35,77.0,57,20,21.92,few clouds
13,Rikitea,PF,-23.12,-134.97,72.75,79,0,17.9,clear sky
14,Kamina,CD,-8.74,24.99,73.13,55,0,3.96,clear sky
15,Zlobin,HR,45.29,14.65,69.01,77,75,2.24,broken clouds
16,Cape Town,ZA,-33.93,18.42,59.0,76,20,14.99,few clouds
17,Busselton,AU,-33.65,115.33,43.0,74,0,10.83,clear sky
18,Jamestown,US,42.1,-79.24,52.0,93,90,9.17,overcast clouds
19,Kruisfontein,ZA,-34.0,24.73,57.0,92,100,8.01,light rain
20,Albany,US,42.6,-73.97,60.01,78,98,5.46,light rain
21,Kaoma,ZM,-14.78,24.8,73.4,22,6,3.67,clear sky
22,Khor,RU,47.89,134.95,50.23,95,100,6.64,overcast clouds
23,Mazagao,BR,-0.12,-51.29,95.0,53,40,8.05,scattered clouds
24,Mahebourg,MU,-20.41,57.7,69.8,83,40,3.36,scattered clouds
25,College,US,64.86,-147.8,55.99,50,40,8.05,scattered clouds
26,Sagua La Grande,CU,22.81,-80.08,87.8,66,75,10.29,broken clouds
27,Namibe,AO,-15.2,12.15,65.05,79,100,5.64,overcast clouds
28,Ilulissat,GL,69.22,-51.1,42.8,38,75,14.99,broken clouds
29,Bredasdorp,ZA,-34.53,20.04,57.2,87,100,13.87,light rain
30,Paamiut,GL,61.99,-49.67,39.47,90,100,20.42,light rain
31,Barrow,US,71.29,-156.79,33.8,96,90,12.75,overcast clouds
32,Baherden,TM,38.44,57.43,58.44,32,0,4.41,clear sky
33,Arraial Do Cabo,BR,-22.97,-42.03,84.2,70,0,13.87,clear sky
34,Severo-Kurilsk,RU,50.68,156.12,46.96,87,14,11.01,few clouds
35,Bengkulu,ID,-3.8,102.27,74.7,88,100,4.12,overcast clouds
36,Kodiak,US,57.79,-152.41,51.8,93,90,20.8,moderate rain
37,La Ronge,CA,55.1,-105.28,48.2,70,90,1.9,overcast clouds
38,Cabedelo,BR,-6.98,-34.83,84.2,58,20,16.11,few clouds
39,Namatanai,PG,-3.67,152.43,77.04,79,63,4.92,broken clouds
40,Kidal,ML,18.44,1.41,89.46,34,77,15.59,light rain
41,Fortuna,US,40.6,-124.16,59.0,93,20,3.36,few clouds
42,Aksu,CN,41.12,80.26,58.03,38,100,3.58,overcast clouds
43,Yuzhno-Kurilsk,RU,44.03,145.86,55.02,87,36,8.28,scattered clouds
44,Juneau,US,58.3,-134.42,50.0,93,90,4.97,moderate rain
45,Luderitz,NA,-26.65,15.16,57.22,78,0,8.43,clear sky
46,Kimbe,PG,-5.55,150.14,72.52,88,100,3.15,overcast clouds
47,Narsaq,GL,60.92,-46.05,39.2,80,75,2.24,light rain
48,Punta Arenas,CL,-53.15,-70.92,41.0,48,75,19.46,broken clouds
49,Mana,GF,5.66,-53.78,85.73,63,100,7.54,overcast clouds
50,Touros,BR,-5.2,-35.46,82.4,65,75,18.34,broken clouds
51,Hobart,AU,-42.88,147.33,55.4,82,90,10.29,overcast clouds
52,Chuy,UY,-33.7,-53.46,55.31,62,0,19.22,clear sky
53,Christchurch,NZ,-43.53,172.63,54.0,66,100,2.24,light rain
54,Cayenne,GF,4.93,-52.33,86.0,74,40,9.17,scattered clouds
55,Karatuzskoye,RU,53.61,92.87,28.98,97,0,3.11,clear sky
56,Trinidad,BO,-14.83,-64.9,96.8,47,20,6.93,few clouds
57,Hilo,US,19.73,-155.09,77.0,78,40,3.36,scattered clouds
58,Mathbaria,BD,22.29,89.96,78.73,92,92,1.86,overcast clouds
59,Rosa Zarate,EC,0.33,-79.47,83.79,61,87,4.47,light rain
60,Kavieng,PG,-2.57,150.8,80.91,74,98,7.4,overcast clouds
61,Seddon,AU,-37.81,144.89,69.01,59,0,23.04,clear sky
62,Ulety,RU,51.36,112.48,28.98,96,100,9.95,overcast clouds
63,Josefina,PH,8.2,123.53,77.0,94,95,1.95,overcast clouds
64,Vardo,NO,70.37,31.11,44.6,81,75,11.41,broken clouds
65,Auchi,NG,7.07,6.27,74.07,93,96,2.21,overcast clouds
66,San Buenaventura,MX,27.08,-101.53,86.0,21,0,10.0,clear sky
67,Beisfjord,NO,68.38,17.6,55.4,58,4,6.93,clear sky
68,Muros,ES,42.78,-9.06,55.0,82,42,5.01,scattered clouds
69,Cardoso,BR,-20.08,-49.91,104.81,13,41,5.26,scattered clouds
70,Kasangulu,CD,-4.59,15.17,87.8,52,2,4.7,light rain
71,Meulaboh,ID,4.14,96.13,76.33,83,100,3.85,overcast clouds
72,Ponta Do Sol,PT,32.67,-17.1,73.4,64,40,5.82,scattered clouds
73,Chistoye,RU,56.54,43.0,44.6,93,100,2.39,overcast clouds
74,San Rafael Del Sur,NI,11.85,-86.44,87.8,66,40,4.7,scattered clouds
75,Thompson,CA,55.74,-97.86,39.2,80,90,3.36,overcast clouds
76,Ust-Omchug,RU,61.15,149.63,31.15,94,30,2.19,scattered clouds
77,Atasu,KZ,48.68,71.64,44.55,69,55,8.14,broken clouds
78,Kralendijk,BQ,12.15,-68.27,80.6,78,100,11.41,overcast clouds
79,Olafsvik,IS,64.89,-23.71,43.2,84,100,12.44,moderate rain
80,Bethel,US,41.37,-73.41,60.8,63,40,6.93,scattered clouds
81,Saldanha,ZA,-33.01,17.94,64.4,48,0,6.93,clear sky
82,Salinas,US,36.68,-121.66,93.0,34,1,6.93,haze
83,Winnemucca,US,40.97,-117.74,75.2,13,1,8.05,clear sky
84,Teknaf,BD,20.86,92.31,79.54,89,98,7.67,overcast clouds
85,Shache,CN,38.42,77.24,56.26,38,100,7.7,overcast clouds
86,Viedma,AR,-40.81,-63.0,47.82,49,57,16.73,broken clouds
87,Dikson,RU,73.51,80.55,35.1,85,100,24.63,overcast clouds
88,Aklavik,CA,68.22,-135.01,32.0,85,75,4.7,mist
89,Qaanaaq,GL,77.48,-69.36,21.29,84,0,4.43,clear sky
90,Zhenlai,CN,45.85,123.3,46.65,69,0,12.39,clear sky
91,Atikokan,CA,48.76,-91.62,42.67,60,100,0.22,overcast clouds
92,Longyearbyen,SJ,78.22,15.64,33.8,86,75,9.17,broken clouds
93,Flagstaff,US,35.2,-111.65,78.01,7,1,2.04,clear sky
94,Esperance,AU,-33.87,121.9,50.0,100,90,4.7,light rain
95,Tuktoyaktuk,CA,69.45,-133.04,35.6,100,90,5.82,fog
96,Khatanga,RU,71.97,102.5,25.02,97,27,18.21,scattered clouds
97,Griffith,US,41.53,-87.42,55.0,38,1,5.82,clear sky
98,Najran,SA,17.49,44.13,77.0,17,0,7.4,clear sky
99,Vaini,TO,-21.2,-175.2,71.6,94,75,10.29,broken clouds
100,Leningradskiy,RU,69.38,178.42,33.75,91,100,14.67,overcast clouds
101,Lebu,CL,-37.62,-73.65,49.35,69,59,12.93,broken clouds
102,Rockport,US,28.02,-97.05,82.99,57,1,10.29,clear sky
103,Cidreira,BR,-30.18,-50.21,67.66,94,100,10.38,overcast clouds
104,Oksbol,DK,55.63,8.29,61.0,82,66,12.75,broken clouds
105,Whitianga,NZ,-36.83,175.7,52.03,73,0,1.66,clear sky
106,Normandin,CA,48.83,-72.53,48.2,66,75,6.93,broken clouds
107,Nyimba,ZM,-14.56,30.81,86.61,21,0,13.2,clear sky
108,North Bend,US,43.41,-124.22,63.0,100,90,9.17,mist
109,Airai,TL,-8.93,125.41,58.08,67,9,3.22,clear sky
110,Ajdabiya,LY,30.76,20.23,87.6,29,0,11.88,clear sky
111,Vila Velha,BR,-20.33,-40.29,87.01,58,0,19.46,clear sky
112,Mahajanga,MG,-15.72,46.32,80.6,78,40,11.41,scattered clouds
113,Butaritari,KI,3.07,172.79,80.29,71,0,13.15,clear sky
114,Tasiilaq,GL,65.61,-37.64,39.2,60,75,20.8,light intensity shower rain
115,Klyuchi,RU,52.27,79.17,40.62,68,0,1.12,clear sky
116,Ucluelet,CA,48.93,-125.55,63.0,93,5,5.82,clear sky
117,Port Keats,AU,-14.25,129.55,80.17,76,100,5.08,overcast clouds
118,Provideniya,RU,64.38,-173.3,40.86,90,100,15.1,overcast clouds
119,Kahului,US,20.89,-156.47,86.0,62,20,6.93,few clouds
120,Berlevag,NO,70.86,29.09,44.6,81,40,5.82,scattered clouds
121,Kapaa,US,22.08,-159.32,78.8,78,1,8.05,clear sky
122,Bluff,NZ,-46.6,168.33,54.0,64,93,5.99,light rain
123,Chokurdakh,RU,70.63,147.92,24.24,99,64,5.88,broken clouds
124,Poum,NC,-20.23,164.02,70.83,69,0,17.11,clear sky
125,Port Elizabeth,ZA,-33.92,25.57,60.8,77,90,21.92,overcast clouds
126,Baykalsk,RU,51.51,104.15,33.37,85,100,10.87,overcast clouds
127,Upernavik,GL,72.79,-56.15,29.88,86,100,6.58,overcast clouds
128,Sibolga,ID,1.74,98.78,76.89,80,100,3.09,light rain
129,Oltu,TR,40.55,42.0,56.41,71,1,3.38,clear sky
130,Cervo,ES,43.67,-7.41,59.0,1,93,23.15,overcast clouds
131,Cockburn Town,TC,21.46,-71.14,87.8,66,40,13.87,scattered clouds
132,Hermanus,ZA,-34.42,19.23,57.0,89,99,5.99,overcast clouds
133,Napasar,IN,27.97,73.55,83.53,15,0,2.28,clear sky
134,Kalemie,CD,-5.95,29.19,76.75,59,0,4.5,clear sky
135,Cherskiy,RU,68.75,161.3,29.75,89,72,4.97,broken clouds
136,High Level,CA,58.52,-117.14,55.4,54,20,11.41,few clouds
137,Okhotsk,RU,59.38,143.3,43.03,72,100,3.53,overcast clouds
138,Kitimat,CA,54.05,-128.65,66.0,87,10,2.21,clear sky
139,Manokwari,ID,-0.87,134.08,79.83,76,90,2.64,overcast clouds
140,Grindavik,IS,63.84,-22.43,41.0,93,40,8.05,scattered clouds
141,Ilebo,CD,-4.32,20.58,73.47,88,100,3.29,moderate rain
142,Caravelas,BR,-17.71,-39.25,81.91,57,16,10.42,few clouds
143,San Carlos De Bariloche,AR,-41.15,-71.31,39.99,69,75,17.22,light snow
144,Yumen,CN,40.28,97.2,38.98,57,0,7.54,clear sky
145,Roros,NO,62.57,11.38,46.4,93,77,8.05,broken clouds
146,Zhigansk,RU,66.77,123.37,31.28,92,100,21.85,overcast clouds
147,Chabahar,IR,25.29,60.64,84.2,79,0,11.41,clear sky
148,Atuona,PF,-9.8,-139.03,78.04,77,7,21.07,light rain
149,Siuna,NI,13.73,-84.78,83.3,82,100,2.98,overcast clouds
150,Salta,AR,-24.79,-65.41,80.6,30,0,8.05,clear sky
151,Fort Nelson,CA,58.81,-122.7,48.2,61,40,3.36,scattered clouds
152,Hasaki,JP,35.73,140.83,60.8,93,20,5.82,fog
153,Mikhaylovka,RU,50.06,43.24,57.99,46,100,7.0,overcast clouds
154,Bambous Virieux,MU,-20.34,57.76,71.01,83,40,3.36,scattered clouds
155,Quincy,US,42.25,-71.0,63.0,67,100,11.41,overcast clouds
156,Weston-Super-Mare,GB,51.35,-2.98,54.0,100,100,16.11,moderate rain
157,Aksarka,RU,66.56,67.8,37.89,83,100,24.23,overcast clouds
158,Dingle,PH,11.0,122.67,76.91,89,85,1.1,overcast clouds
159,Carmarthen,GB,51.86,-4.31,53.6,87,100,23.04,moderate rain
160,Ojos De Agua,HN,14.7,-88.82,76.59,77,4,4.12,clear sky
161,Kapchorwa,UG,1.4,34.45,59.43,81,24,4.68,few clouds
162,Carnarvon,AU,-24.87,113.63,62.6,67,90,23.04,overcast clouds
163,Mount Pleasant,US,32.79,-79.86,75.0,60,20,6.93,few clouds
164,Half Moon Bay,US,37.46,-122.43,82.99,64,0,6.87,smoke
165,New Norfolk,AU,-42.78,147.06,54.0,75,25,1.01,light rain
166,Beringovskiy,RU,63.05,179.32,42.1,89,100,27.98,light rain
167,Pevek,RU,69.7,170.31,33.4,87,92,4.63,overcast clouds
168,Montepuez,MZ,-13.13,39.0,72.79,69,0,7.54,clear sky
169,Akdepe,TM,42.06,59.38,55.4,47,0,6.93,clear sky
170,Vila Franca Do Campo,PT,37.72,-25.43,68.0,88,75,16.11,broken clouds
171,Kaitangata,NZ,-46.28,169.85,51.01,56,100,1.99,overcast clouds
172,General Cepeda,MX,25.38,-101.45,69.8,49,5,8.52,clear sky
173,Bandarbeyla,SO,9.49,50.81,77.86,86,62,9.44,broken clouds
174,Ust-Tsilma,RU,65.44,52.15,42.26,72,100,8.19,overcast clouds
175,Port Alfred,ZA,-33.59,26.89,61.5,75,100,25.61,overcast clouds
176,Saint Anthony,US,45.02,-93.22,48.99,42,75,5.82,broken clouds
177,Nikolskoye,RU,59.7,30.79,55.0,76,0,6.71,clear sky
178,Chitral,PK,35.85,71.79,62.2,35,0,1.45,clear sky
179,Wanning,CN,18.8,110.4,80.76,87,78,4.05,light rain
180,Vostok,RU,46.49,135.88,43.79,100,100,2.08,overcast clouds
181,Ostrovnoy,RU,68.05,39.51,43.16,65,100,4.34,overcast clouds
182,Chhatak,BD,25.03,91.67,79.52,85,100,1.88,light rain
183,Kankan,GN,10.39,-9.31,71.26,91,100,4.61,overcast clouds
184,Gat,IL,31.61,34.76,79.0,69,0,7.09,clear sky
185,Hithadhoo,MV,-0.6,73.08,83.57,72,99,8.7,overcast clouds
186,Kenitra,MA,34.26,-6.58,69.8,68,75,8.05,broken clouds
187,Sundargarh,IN,22.12,84.03,76.64,86,99,4.0,overcast clouds
188,Sao Filipe,CV,14.9,-24.5,82.06,71,100,18.23,overcast clouds
189,Husavik,IS,66.04,-17.34,37.4,69,100,3.29,overcast clouds
190,Saint-Philippe,RE,-21.36,55.77,70.0,77,4,4.7,clear sky
191,Tezu,IN,27.92,96.17,74.25,85,62,3.69,light rain
192,Vacaria,BR,-28.51,-50.93,73.0,69,98,8.01,overcast clouds
193,Abbeville,FR,50.1,1.83,57.0,72,100,7.54,light rain
194,Griffin,US,33.25,-84.26,69.01,29,1,6.93,clear sky
195,Ishigaki,JP,24.34,124.16,80.87,80,6,12.84,clear sky
196,Monrovia,LR,6.3,-10.8,80.6,88,75,8.05,broken clouds
197,Saskylakh,RU,71.92,114.08,22.69,96,48,16.22,scattered clouds
198,San Rafael,AR,-34.62,-68.33,60.31,32,90,22.84,overcast clouds
199,Sitka,US,57.05,-135.33,57.2,93,90,10.29,moderate rain
200,Ribeira Grande,PT,38.52,-28.7,73.4,64,40,11.41,scattered clouds
201,Souillac,MU,-20.52,57.52,69.8,83,40,3.36,scattered clouds
202,Mwense,ZM,-10.38,28.7,77.14,36,0,4.03,clear sky
203,Cabo San Lucas,MX,22.89,-109.91,93.2,58,5,5.82,clear sky
204,Jizan,SA,17.33,42.67,89.6,75,20,8.05,few clouds
205,Basag,PH,8.92,125.62,74.1,84,25,0.51,scattered clouds
206,Lukiv,UA,51.05,25.4,60.01,98,100,8.01,overcast clouds
207,Severnyy,RU,50.68,36.55,60.8,44,40,8.95,scattered clouds
208,Adrar,MR,20.5,-10.07,94.95,14,0,11.7,clear sky
209,Sioux Lookout,CA,50.1,-91.92,37.4,55,90,0.87,overcast clouds
210,Georgetown,MY,5.41,100.34,77.0,88,40,2.24,scattered clouds
211,Inhambane,MZ,-23.86,35.38,73.0,94,75,9.01,broken clouds
212,Kutum,SD,14.2,24.67,84.85,29,80,3.09,broken clouds
213,Murray Bridge,AU,-35.12,139.27,78.01,33,98,8.01,overcast clouds
214,Centralia,US,46.72,-122.95,59.0,100,90,0.36,mist
215,Lagoa,PT,39.05,-27.98,69.13,84,92,18.63,overcast clouds
216,Clyde River,CA,70.47,-68.59,28.4,92,75,16.11,light snow
217,Arlit,NE,18.74,7.39,98.01,17,36,7.38,scattered clouds
218,Beeville,US,28.4,-97.75,84.0,47,0,5.01,clear sky
219,Castro,BR,-24.79,-50.01,91.27,31,30,6.58,scattered clouds
220,Puerto Escondido,MX,15.85,-97.07,86.0,70,40,4.7,scattered clouds
221,Baykit,RU,61.67,96.37,31.73,95,100,4.52,overcast clouds
222,Torbay,CA,47.67,-52.73,61.0,93,90,9.17,overcast clouds
223,Gamba,GA,-2.65,10.0,76.41,83,19,6.11,few clouds
224,Dogondoutchi,NE,13.64,4.03,91.9,40,2,11.97,clear sky
225,Manado,ID,1.49,124.85,77.0,94,40,3.76,moderate rain
226,Shenjiamen,CN,29.96,122.3,72.72,82,0,6.89,clear sky
227,Ejby,DK,55.49,12.08,59.0,87,47,17.22,scattered clouds
228,Ocland,RO,46.17,25.42,55.0,83,83,3.27,broken clouds
229,Tahta,EG,26.77,31.5,89.6,27,0,16.11,clear sky
230,Kankakee,US,41.15,-87.87,57.0,43,1,4.7,clear sky
231,Huinan,CN,42.62,126.26,45.72,79,0,7.74,clear sky
232,Bukachacha,RU,52.98,116.92,40.08,88,100,5.32,overcast clouds
233,Los Llanos De Aridane,ES,28.66,-17.92,75.2,69,40,20.8,scattered clouds
234,Mariental,NA,-24.63,17.97,59.88,28,0,8.88,clear sky
235,Iqaluit,CA,63.75,-68.51,30.2,80,90,10.29,light snow
236,Sidi Ali,DZ,36.1,0.42,70.52,66,100,25.34,overcast clouds
